Dataset,WindowSize,Points,BPP,MaxError,AvgError,DecompressSuccess
Trajectory (原始),80,97008,7.319737,1.408776e-05,7.597851e-06,TRUE
Trajectory (原始),96,97008,7.319706,1.408419e-05,7.597889e-06,TRUE
Trajectory (原始),112,97008,7.326324,1.408397e-05,7.597888e-06,TRUE
Trajectory (原始),128,97008,7.324880,1.408447e-05,7.597889e-06,TRUE
Trajectory (原始),144,97008,7.342394,1.408493e-05,7.597876e-06,TRUE
Trajectory (原始),160,97008,7.334941,1.408544e-05,7.597871e-06,TRUE
Trajectory (原始),176,97008,7.343291,1.408534e-05,7.597872e-06,TRUE
Trajectory (原始),192,97008,7.335230,1.408426e-05,7.597889e-06,TRUE
Trajectory (5x降采样),16,19401,11.579815,1.401521e-05,7.621042e-06,TRUE
Trajectory (5x降采样),24,19401,11.584506,1.401520e-05,7.621041e-06,TRUE
Trajectory (5x降采样),32,19401,11.562548,1.401518e-05,7.621042e-06,TRUE
Trajectory (5x降采样),48,19401,11.575589,1.401519e-05,7.621041e-06,TRUE
Trajectory (5x降采样),64,19401,11.607443,1.401516e-05,7.621042e-06,TRUE
Trajectory (5x降采样),80,19401,11.573733,1.401517e-05,7.621042e-06,TRUE
Trajectory (5x降采样),96,19401,11.604041,1.401513e-05,7.621043e-06,TRUE
Trajectory (5x降采样),112,19401,11.596516,1.401514e-05,7.621042e-06,TRUE
Trajectory (5x降采样),128,19401,11.604763,1.401509e-05,7.621043e-06,TRUE
Trajectory (5x降采样),144,19401,11.618679,1.401511e-05,7.621043e-06,TRUE
Trajectory (5x降采样),160,19401,11.597134,1.401517e-05,7.621043e-06,TRUE
Trajectory (5x降采样),176,19401,11.614195,1.401507e-05,7.621043e-06,TRUE
Trajectory (5x降采样),192,19401,11.613937,1.401520e-05,7.621041e-06,TRUE
Trajectory (10x降采样),16,9700,11.767113,1.402926e-05,7.582338e-06,TRUE
Trajectory (10x降采样),24,9700,11.734330,1.402926e-05,7.582339e-06,TRUE
Trajectory (10x降采样),32,9700,11.719897,1.402925e-05,7.582338e-06,TRUE
Trajectory (10x降采样),48,9700,11.670309,1.402926e-05,7.582338e-06,TRUE
Trajectory (10x降采样),64,9700,11.640722,1.402926e-05,7.582339e-06,TRUE
Trajectory (10x降采样),80,9700,11.674639,1.402925e-05,7.582338e-06,TRUE
Trajectory (10x降采样),96,9700,11.658660,1.402926e-05,7.582338e-06,TRUE
Trajectory (10x降采样),112,9700,11.635773,1.402926e-05,7.582338e-06,TRUE
Trajectory (10x降采样),128,9700,11.671340,1.402926e-05,7.582338e-06,TRUE
Trajectory (10x降采样),144,9700,11.643814,1.402926e-05,7.582338e-06,TRUE
Trajectory (10x降采样),160,9700,11.634536,1.402926e-05,7.582338e-06,TRUE
Trajectory (10x降采样),176,9700,11.640206,1.402926e-05,7.582338e-06,TRUE
Trajectory (10x降采样),192,9700,11.653711,1.402926e-05,7.582338e-06,TRUE
Trajectory (20x降采样),16,4850,16.357732,1.397865e-05,7.551099e-06,TRUE
Trajectory (20x降采样),24,4850,16.297938,1.397865e-05,7.551099e-06,TRUE
Trajectory (20x降采样),32,4850,16.248660,1.397865e-05,7.551099e-06,TRUE
Trajectory (20x降采样),48,4850,16.311134,1.397865e-05,7.551099e-06,TRUE
Trajectory (20x降采样),64,4850,16.260412,1.397865e-05,7.551099e-06,TRUE
Trajectory (20x降采样),80,4850,16.227835,1.397865e-05,7.551099e-06,TRUE
Trajectory (20x降采样),96,4850,16.233196,1.397865e-05,7.551099e-06,TRUE
Trajectory (20x降采样),112,4850,16.189691,1.397865e-05,7.551099e-06,TRUE
Trajectory (20x降采样),128,4850,16.242268,1.397865e-05,7.551099e-06,TRUE
Trajectory (20x降采样),144,4850,16.245155,1.397865e-05,7.551099e-06,TRUE
Trajectory (20x降采样),160,4850,16.187010,1.397865e-05,7.551099e-06,TRUE
Trajectory (20x降采样),176,4850,16.186392,1.397865e-05,7.551099e-06,TRUE
Trajectory (20x降采样),192,4850,16.185979,1.397865e-05,7.551099e-06,TRUE
Trajectory (40x降采样),16,2425,21.832990,1.394426e-05,7.741863e-06,TRUE
Trajectory (40x降采样),24,2425,21.868454,1.394426e-05,7.741863e-06,TRUE
Trajectory (40x降采样),32,2425,21.694845,1.394426e-05,7.741863e-06,TRUE
Trajectory (40x降采样),48,2425,21.741856,1.394426e-05,7.741863e-06,TRUE
Trajectory (40x降采样),64,2425,21.736495,1.394426e-05,7.741863e-06,TRUE
Trajectory (40x降采样),80,2425,21.657732,1.394426e-05,7.741863e-06,TRUE
Trajectory (40x降采样),96,2425,21.655670,1.394426e-05,7.741863e-06,TRUE
Trajectory (40x降采样),112,2425,21.654021,1.394426e-05,7.741863e-06,TRUE
Trajectory (40x降采样),128,2425,21.652784,1.394426e-05,7.741863e-06,TRUE
Trajectory (40x降采样),144,2425,21.651959,1.394426e-05,7.741863e-06,TRUE
Trajectory (40x降采样),160,2425,21.651546,1.394426e-05,7.741863e-06,TRUE
Trajectory (40x降采样),176,2425,21.650722,1.394426e-05,7.741863e-06,TRUE
Trajectory (40x降采样),192,2425,21.650309,1.394426e-05,7.741863e-06,TRUE
